Date;CV_daily;PV_daily_MWh
11.10.2016;0.284206694;41205.75
12.10.2016;0.298402816;46302.5
13.10.2016;0.319251903;53252.75
14.10.2016;0.347474246;69784
15.10.2016;0.447372599;55677.5
16.10.2016;0.28699501;97232.25
17.10.2016;0.336764347;46779.5
18.10.2016;0.324135188;42428
19.10.2016;0.306892728;38170
20.10.2016;0.298892456;38409.25
21.10.2016;0.271228268;28980
22.10.2016;0.215636919;42324.5
23.10.2016;0.235602762;60492.75
24.10.2016;0.30732161;34942.5
25.10.2016;0.385375878;24539.75
26.10.2016;0.29896689;35889.75
27.10.2016;0.27211762;46385
28.10.2016;0.29798258;0
29.10.2016;0.239237076;49989.75
30.10.2016;0.298653386;65406.25
31.10.2016;0.292067354;62066.75
01.11.2016;0.298408073;52188
02.11.2016;0.442761055;39837.5
03.11.2016;0.290163117;49902
04.11.2016;0.269425183;46152.5
05.11.2016;0.197024558;18560
06.11.2016;0.27656942;23130.75
07.11.2016;0.541095032;22876
08.11.2016;0.432102649;25166.75
09.11.2016;0.355777812;37870
10.11.2016;0.416461025;19279.5
11.11.2016;0.304599855;21117
12.11.2016;0.198717459;33756.75
13.11.2016;0.265462718;45873.75
14.11.2016;0.330574418;67961.25
15.11.2016;0.304208739;15411
16.11.2016;0.301198874;11124.75
17.11.2016;0.388563408;21761.5
18.11.2016;0.670432743;25233.75
19.11.2016;0.419411216;15962.75
20.11.2016;22.49308711;46874.5
21.11.2016;0.49758442;32607.5
22.11.2016;0.402114899;26528.75
23.11.2016;0.318895116;36894
24.11.2016;0.280155019;29135.25
25.11.2016;0.281991533;28021
26.11.2016;0.257012898;12378.75
27.11.2016;0.293880565;28532.75
28.11.2016;0.391948128;62665
29.11.2016;0.298151643;70377.25
30.11.2016;0.30064953;37046.25
01.12.2016;0.420490792;16608.75
02.12.2016;0.475955586;33939.5
03.12.2016;0.3063951;56021.25
04.12.2016;0.273995368;48037.25
05.12.2016;0.384225559;40089.25
06.12.2016;0.383021933;30851.75
07.12.2016;0.265711047;22856
08.12.2016;0.420105072;39196.75
09.12.2016;0.310380302;0
10.12.2016;0.326598126;40235.75
11.12.2016;0.200399226;11372.5
12.12.2016;0.447970355;15057.5
13.12.2016;0.364226604;21872
14.12.2016;0.440189688;16449.75
15.12.2016;0.364354439;15773
16.12.2016;0.373042427;28826.5
17.12.2016;0.260359033;18207.75
18.12.2016;0.270852265;8437.75
19.12.2016;0.393910657;18001.25
20.12.2016;0.311817514;26453
21.12.2016;0.281337369;22973.5
22.12.2016;0.300127524;20108.25
23.12.2016;0.36535796;16111.75
24.12.2016;1.00815068;12844
25.12.2016;13.18816999;6607.75
26.12.2016;2.015467568;15464
27.12.2016;3.296229241;23447
28.12.2016;0.422077071;19449.5
29.12.2016;0.284824006;42910
30.12.2016;0.302740563;48546.75
31.12.2016;0.316635598;34578.5
01.01.2017;0.52469062;35291.5
02.01.2017;0.412773565;12480
03.01.2017;0.36196629;9350.5
04.01.2017;0.645283437;12814.25
05.01.2017;0.361551902;20795.5
06.01.2017;0.244681122;33343
07.01.2017;0.257070144;8386.5
08.01.2017;0.312801623;4990.25
09.01.2017;0.396995099;7071.25
10.01.2017;0.45328959;13042.5
11.01.2017;0.28633231;7378
12.01.2017;0.515159636;17864
13.01.2017;0.270892054;14310.25
14.01.2017;0.201031733;16767.25
15.01.2017;0.407958655;16106.5
16.01.2017;0.46283716;17601.5
17.01.2017;0.524135082;22907.75
18.01.2017;0.436156275;22709.25
19.01.2017;0.426677328;38191.5
20.01.2017;0.377306833;39631.75
21.01.2017;0.242648237;45478.25
22.01.2017;0.289251109;47384.5
23.01.2017;0.451394739;30939.25
24.01.2017;0.460614284;10297.75
25.01.2017;0.450011472;17721
26.01.2017;0.262582762;56486.75
27.01.2017;0.26564737;68626.75
28.01.2017;0.229712307;65965.5
29.01.2017;0.28995161;53853.25
30.01.2017;0.353975582;18574.25
31.01.2017;0.436987133;12062
01.02.2017;0.300621132;23815.25
02.02.2017;0.314497811;42217.75
03.02.2017;0.29829316;24221
04.02.2017;0.284452374;49254.75
05.02.2017;0.312753367;46216.75
06.02.2017;0.408160799;28574
07.02.2017;0.318964616;29269.5
08.02.2017;0.376152156;30997.5
09.02.2017;0.304212905;45277.5
10.02.2017;0.321389049;33902
11.02.2017;0.195197063;56392
12.02.2017;0.21250966;37666.5
13.02.2017;0.355476472;89581.25
14.02.2017;0.342892218;110285
15.02.2017;0.338206953;113904
16.02.2017;0.293827194;92427.5
17.02.2017;0.266989814;31449
18.02.2017;0.239698599;34515
19.02.2017;0.517909581;58421.25
20.02.2017;0.401400661;31767.5
21.02.2017;0.449373958;35745.75
22.02.2017;0.515221204;25272.5
23.02.2017;0.64062624;50722.75
24.02.2017;0.711498341;70544.5
25.02.2017;0.329870192;97579.75
26.02.2017;0.725924711;59447.25
27.02.2017;0.431418839;86393.5
28.02.2017;0.501315409;49108
01.03.2017;0.285585724;55170.75
02.03.2017;0.33376257;79159.75
03.03.2017;0.244157539;94664.25
04.03.2017;0.252820942;99949
05.03.2017;0.709525503;75046
06.03.2017;0.324723333;52156.75
07.03.2017;0.321586445;41360.75
08.03.2017;0.240433952;53959.25
09.03.2017;0.278949117;48423.75
