Revenue,LongtermdebtthEUR,ShareholdersfundsthEUR,ExportrevenuethEUR,TotalassetsthEUR,EBIT,ProfitLoss,InterestpaidthEUR,Exportshare,ROE,ROA,Indebt,Taxes
9622.359,0,12302.138,4915.233,30161.178,1170.163,651.308,85.43000000000001,.51081371,.095118672,.038796991,0,433.42499
12032.018,0,12381.934,6517.669,32401.513,1179.648,683.932,93.518,.54169375,.095271707,.036407188,0,402.198
12530.203,456.252,13093.907,6812.325,35164.299,1087.118,655.023,97.523,.54367238,.083024725,.030915389,.012974864,334.57199
12335.145,17644.017,13988.191,7501.625,35506.603,1307.833,858.662,103.145,.60815054,.093495503,.036833514,.49692214,346.026
12963.54,1169.397,7353.726,1137.13,14915.427,110.715,15.577,104.649,.087717555,.015055633,.0074228514,.078401849,-9.5109997
13179.934,1111.267,7604.165,1405.756,15491.791,45.732,3.587,100.922,.1066588,.0060140723,.002952015,.071732633,-58.777
14538.456,1264.525,7587.984,1546.765,16473.171,111.98,4.39,129.831,.10639128,.014757543,.0067977197,.076762699,-22.240999
13404.499,1126.746,7399.783,1020.958,15849.324,-91.505,-343.232,131.593,.076165326,-.012365903,-.0057734326,.071091108,120.134
14167.89,1869.735,7303.587,900.54,18260.4,-149.392,-399.124,142.587,.063562043,-.020454606,-.0081812013,.10239288,107.145
12705.649,2101.964,6724.675,432.751,17217.102,-447.137,-651.232,153.714,.034059733,-.066491984,-.025970515,.12208582,50.381001
12787.544,2175.369,6793.323,589.289,17696.628,-15.102,-88.956,140.692,.046083048,-.0022230651,-.00085338292,.12292562,-66.837997
13199.388,2286.608,7347.777,992.112,19456.601,211.437,12.797,147.715,.075163484,.028775642,.010867109,.11752351,50.924999
12333.08,2264.319,7295.402,526.38,19411.288,.195,4.058,159.843,.042680334,.000026729165,.000010045701,.1166496,-163.70599
